system_id,ligand_ccd_code,cluster,ligand_molecular_weight,ligand_instance_chain,ligand_num_rot_bonds,ligand_tpsa,ligand_num_unique_interactions,ligand_num_heavy_atoms,ligand_is_proper,entry_pdb_id,entry_keywords,ligand_num_rings,ligand_num_pocket_residues,ligand_smiles,num_training_systems_with_similar_ccds,group_key,query_system,target_system,pli_qcov,pli_unique_qcov,pocket_fident,pocket_fident_qcov,pocket_lddt,pocket_lddt_qcov,pocket_qcov,protein_fident_max,protein_fident_qcov_max,protein_fident_qcov_weighted_max,protein_fident_qcov_weighted_sum,protein_fident_weighted_max,protein_fident_weighted_sum,protein_lddt_max,protein_lddt_qcov_max,protein_lddt_qcov_weighted_max,protein_lddt_qcov_weighted_sum,protein_lddt_weighted_max,protein_lddt_weighted_sum,protein_qcov_max,protein_qcov_weighted_max,protein_qcov_weighted_sum,protein_seqsim_max,protein_seqsim_qcov_max,protein_seqsim_qcov_weighted_max,protein_seqsim_qcov_weighted_sum,protein_seqsim_weighted_max,protein_seqsim_weighted_sum,query_ligand_instance_chain,color,shape,sucos_protein,sucos_shape,sucos_protein_pocket_qcov,sucos_protein_pocket_lddt_qcov,sucos_shape_pocket_qcov,sucos_shape_pocket_lddt_qcov,shape_pocket_qcov,shape_pocket_lddt_qcov,color_pocket_qcov,color_pocket_lddt_qcov,target_release_date,release_date_before_cutoff,query_system_pli_qcov,target_system_pli_qcov,pli_qcov_pli_qcov,pli_unique_qcov_pli_qcov,pocket_fident_pli_qcov,pocket_fident_qcov_pli_qcov,pocket_lddt_pli_qcov,pocket_lddt_qcov_pli_qcov,pocket_qcov_pli_qcov,protein_fident_max_pli_qcov,protein_fident_qcov_max_pli_qcov,protein_fident_qcov_weighted_max_pli_qcov,protein_fident_qcov_weighted_sum_pli_qcov,protein_fident_weighted_max_pli_qcov,protein_fident_weighted_sum_pli_qcov,protein_lddt_max_pli_qcov,protein_lddt_qcov_max_pli_qcov,protein_lddt_qcov_weighted_max_pli_qcov,protein_lddt_qcov_weighted_sum_pli_qcov,protein_lddt_weighted_max_pli_qcov,protein_lddt_weighted_sum_pli_qcov,protein_qcov_max_pli_qcov,protein_qcov_weighted_max_pli_qcov,protein_qcov_weighted_sum_pli_qcov,protein_seqsim_max_pli_qcov,protein_seqsim_qcov_max_pli_qcov,protein_seqsim_qcov_weighted_max_pli_qcov,protein_seqsim_qcov_weighted_sum_pli_qcov,protein_seqsim_weighted_max_pli_qcov,protein_seqsim_weighted_sum_pli_qcov,query_ligand_instance_chain_pli_qcov,color_pli_qcov,shape_pli_qcov,sucos_protein_pli_qcov,sucos_shape_pli_qcov,tanimoto_pli_qcov,sucos_protein_pocket_qcov_pli_qcov,sucos_protein_pocket_lddt_qcov_pli_qcov,sucos_shape_pocket_qcov_pli_qcov,sucos_shape_pocket_lddt_qcov_pli_qcov,shape_pocket_qcov_pli_qcov,shape_pocket_lddt_qcov_pli_qcov,color_pocket_qcov_pli_qcov,color_pocket_lddt_qcov_pli_qcov,target_release_date_pli_qcov,release_date_before_cutoff_pli_qcov,num_ligand_chains,num_protein_chains,num_proper_ligand_chains,release_date,sucos_shape_pocket_qcov_2023,topological_tanimoto,morgan_tanimoto,pocket_qcov_alone
8c70__1__1.A__1.B,TVI,c319,339.03308678800005,1.B,4,85.09,7,20,True,8c70,HYDROLASE,3,18,O[C@@H]1CNC[C@H]1n1cc(COc2cncc(Br)c2)nn1,0,8c70__1__1.A__1.B__1.B,8c70__1__1.A__1.B,4er1__1__1.A__1.B,43.0,57.0,100.0,100.0,97.0,97.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.0,98.0,98.0,98.0,98.0,98.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.B,6.7064723867809874,29.51106968974938,34.73315677086094,50.91881461604451,34.73315677086094,33.69116206773511,50.91881461604451,49.39125017756317,29.51106968974938,28.625737599056897,6.7064723867809874,6.505278215177557,1991-01-15,True,8c70__1__1.A__1.B,6ron__1__1.A__1.B_1.D,71.0,57.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.B,7.310446797501981,54.578821615828346,37.14372836934833,40.9880100191089,0.2747918243754731,37.14372836934833,37.14372836934833,40.9880100191089,40.9880100191089,54.578821615828346,54.578821615828346,7.310446797501981,7.310446797501981,2020-07-08,True,1,1,1,2023-05-24,100.0,27.64227642276423,6.837606837606838,100.0
8c74__1__1.A__1.C,TWX,c319,275.13822478400004,1.C,4,98.22,11,20,True,8c74,HYDROLASE,3,17,Nc1ccc(OCc2cn([C@@H]3CNC[C@H]3O)nn2)cc1,0,8c74__1__1.A__1.C__1.C,8c74__1__1.A__1.C,2zjm__1__1.A__1.B,9.0,18.0,41.0,41.0,64.0,64.0,88.0,23.0,22.0,22.0,22.0,23.0,23.0,62.0,59.0,59.0,59.0,62.0,62.0,96.0,96.0,96.0,38.0,36.0,36.0,36.0,38.0,38.0,1.C,15.929276312321432,49.4259519056591,11.08968023664893,58.41710137692802,9.758918608251058,7.097395351455315,51.40704921169666,37.38694488123394,43.494837676980005,31.632609219621823,14.01776315484286,10.194736839885715,2009-01-20,True,8c74__1__1.A__1.C,1epp__1__1.A__1.D,64.0,45.0,100.0,94.0,97.0,91.0,94.0,100.0,100.0,100.0,100.0,100.0,100.0,98.0,98.0,98.0,98.0,98.0,98.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.C,3.596966823957317,34.29333889535155,33.271570998162524,41.38520272673567,0.2647527910685805,31.27527673827277,30.277129608327897,38.90209056313153,37.66053448132946,32.235738561630455,31.20693839476992,3.381148814519878,3.273239809801159,1994-12-20,True,1,1,1,2023-05-24,100.0,26.354082457558608,16.129032258064516,100.0
8c71__1__1.A__1.C,TVO,c519,218.141913196,1.C,1,35.5,5,16,True,8c71,HYDROLASE,3,17,O[C@@H]1CNC[C@H]1N1CCc2ccccc2C1,0,8c71__1__1.A__1.C__1.C,8c71__1__1.A__1.C,3t6i__1__1.A__1.B_1.C_1.D,40.0,20.0,100.0,100.0,96.0,96.0,100.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.C,12.350454742144167,75.7555794142547,34.72031312132184,66.43058428694926,34.72031312132184,33.33150059646896,66.43058428694926,63.77336091547128,75.7555794142547,72.72535623768451,12.350454742144167,11.8564365524584,2012-08-01,True,8c71__1__1.A__1.C,3t7p__1__1.A__1.B_1.C,80.0,80.0,100.0,82.0,99.0,81.0,82.0,99.0,99.0,99.0,99.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.C,5.997701385031666,76.6789120492407,24.716572974911376,51.53185106641537,0.2229885057471264,20.267589839427327,20.020424109678217,42.2561178744606,41.740799363796455,62.87670788037737,62.10991875988496,4.918115135725966,4.85813812187565,2012-08-01,True,1,1,1,2023-05-24,100.0,38.38028169014084,9.090909090909092,100.0
8k5y__1__1.A__1.H,VP6,c806,382.1805041960001,1.H,2,95.24,9,28,True,8k5y,HYDROLASE,4,23,CC(C)(O)c1ccc2cc(C(=O)N3CCCc4cnc(N)c(F)c4C3)[nH]c2c1,0,8k5y__1__1.A__1.H__1.H,8k5y__1__1.A__1.H,5ue4__3__2.B__2.O,0.0,33.0,87.0,70.0,79.0,64.0,70.0,96.0,94.0,94.0,94.0,96.0,96.0,94.0,93.0,93.0,93.0,94.0,94.0,98.0,98.0,98.0,100.0,98.0,98.0,98.0,100.0,100.0,1.H,8.534245662208335,60.5384286049654,0.0,37.21481185884795,0.0,0.0,26.050368301193565,23.81747958966269,42.37690002347578,38.744594307177856,5.973971963545834,5.461917223813335,2017-09-13,True,8k5y__1__1.A__1.H,2usn__1__1.A__1.B_1.H,20.0,11.0,52.0,30.0,49.0,35.0,48.0,55.0,39.0,39.0,39.0,55.0,55.0,80.0,56.0,56.0,56.0,80.0,80.0,70.0,70.0,70.0,68.0,48.0,48.0,48.0,68.0,68.0,1.H,7.985543058791868,60.24104111763199,14.253189564103092,42.54594270114772,0.3230769230769231,6.841530990769484,4.988616347436082,20.422052496550904,14.8910799454017,28.91569973646336,21.0843643911712,3.8330606682200967,2.794940070577154,1998-12-23,True,1,1,1,2023-12-06,26.050368301193565,38.23529411764706,9.183673469387756,70.0
7k5v__1__1.A__1.C,BIH,c46,287.976229976,1.C,2,108.74,8,18,True,7k5v,HYDROLASE/HYDROLASE INHIBITOR,2,18,O=S(=O)(O)c1ccc2cc(S(=O)(=O)O)ccc2c1,6,7k5v__1__1.A__1.C__1.C,7k5v__1__1.A__1.C,5qar__3__1.C__1.H,56.0,62.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.C,10.939481761986238,70.1801765172547,27.19235701929098,60.07726332993729,27.19235701929098,27.19235701929098,60.07726332993729,60.07726332993729,70.1801765172547,70.1801765172547,10.939481761986238,10.939481761986238,2018-01-10,True,7k5v__1__1.A__1.C,5qau__4__1.D__1.N,78.0,75.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.C,14.39589670614011,68.59572943974945,26.346786002344714,54.12756195607638,0.085667215815486,26.346786002344714,26.346786002344714,54.12756195607638,54.12756195607638,68.59572943974945,68.59572943974945,14.39589670614011,14.39589670614011,2018-01-10,True,1,1,1,2021-12-01,100.0,8.272058823529411,12.76595744680851,100.0
7qaa__1__1.B__1.D,BMS,c261,450.194342692,1.D,4,79.29,12,34,True,7qaa,GENE REGULATION,5,38,CC1(C)CCC(c2cnc3ccccc3c2)c2cc(C(=O)Nc3ccc(C(=O)O)cc3)ccc21,1,7qaa__1__1.B__1.D__1.D,7qaa__1__1.B__1.D,1dkf__1__1.B__1.D,87.0,83.0,100.0,95.0,100.0,94.0,95.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.D,61.63614394743199,97.36201302244795,91.67667770837204,94.01653927722025,87.09284382295344,86.17607704586972,89.31571231335921,88.37554692058701,92.49391237132556,91.52029224110107,58.55433675006039,57.93797531058607,2000-04-19,True,7qaa__1__1.B__1.D,1dkf__1__1.B__1.D,87.0,83.0,100.0,95.0,100.0,94.0,95.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.D,61.63614394743199,97.36201302244795,91.67667770837204,94.01653927722025,1.0,87.09284382295344,86.17607704586972,89.31571231335921,88.37554692058701,92.49391237132556,91.52029224110107,58.55433675006039,57.93797531058607,2000-04-19,True,1,1,1,2022-10-05,100.0,100.0,100.0,95.0
7qa3__1__1.A__1.C,A0F,c250,427.096617792,1.C,6,47.040000000000006,12,30,True,7qa3,GENE REGULATION,4,39,FC(F)(F)c1cc(NCc2cnc(-c3ccc(Oc4ccccc4)cc3)s2)ccn1,0,7qa3__1__1.A__1.C__1.C,7qa3__1__1.A__1.C,6yiz__1__1.A_1.B__1.D,62.0,58.0,100.0,85.0,97.0,83.0,85.0,100.0,100.0,99.0,99.0,100.0,100.0,95.0,95.0,95.0,95.0,95.0,95.0,100.0,99.0,99.0,100.0,100.0,99.0,99.0,100.0,100.0,1.C,48.52687806953703,90.3293396197097,69.06755136863443,75.47364213107488,58.70741866333926,57.326067635966574,64.15259581141365,62.64312296879215,76.77993867675325,74.97335188435905,41.24784635910647,40.27730879771573,2021-04-14,True,7qa3__1__1.A__1.C,6yiz__1__1.A_1.B__1.D,62.0,58.0,100.0,85.0,97.0,83.0,85.0,100.0,100.0,99.0,99.0,100.0,100.0,95.0,95.0,95.0,95.0,95.0,95.0,100.0,99.0,99.0,100.0,100.0,99.0,99.0,100.0,100.0,1.C,48.52687806953703,90.3293396197097,69.06755136863443,75.47364213107488,0.4483450351053159,58.70741866333926,57.326067635966574,64.15259581141365,62.64312296879215,76.77993867675325,74.97335188435905,41.24784635910647,40.27730879771573,2021-04-14,True,1,1,1,2022-11-23,100.0,44.83450351053159,54.6875,85.0
7lpw__1__1.A_1.B__1.G,YBA,c613,428.093009632,1.G,6,104.03,8,29,True,7lpw,TRANSFERASE/INHIBITOR,3,22,NC[C@H](NC(=O)c1ccc(-c2ccc(C(F)(F)F)c(F)c2)[nH]1)c1nc(CO)cs1,0,7lpw__1__1.A_1.B__1.G__1.G,7lpw__1__1.A_1.B__1.G,5vz6__1__1.A__1.C,50.0,50.0,91.0,64.0,80.0,57.0,64.0,98.0,97.0,97.0,55.0,98.0,55.0,92.0,92.0,92.0,52.0,92.0,52.0,100.0,100.0,56.0,99.0,98.0,98.0,55.0,99.0,56.0,1.G,11.062761051539232,78.0344699306132,27.475980693961265,52.67326176225428,17.58462764413521,15.66130899555792,33.710887527842736,30.023759204484936,49.94206075559245,44.47964786044952,7.08016707298511,6.305773799377363,2018-05-30,True,7lpw__1__1.A_1.B__1.G,5vz6__2__2.A__2.C,50.0,50.0,91.0,64.0,80.0,57.0,64.0,98.0,97.0,97.0,55.0,98.0,55.0,92.0,92.0,92.0,52.0,92.0,52.0,100.0,100.0,56.0,99.0,98.0,98.0,55.0,99.0,56.0,1.G,11.062761051539232,78.0344699306132,0.0,52.67326176225428,0.3398692810457516,0.0,0.0,33.710887527842736,30.023759204484936,49.94206075559245,44.47964786044952,7.08016707298511,6.305773799377363,2018-05-30,True,1,2,1,2021-11-17,100.0,33.98692810457516,16.304347826086957,73.0
7lp0__1__1.A__1.C,P2L,c7,256.109088844,1.C,2,50.16,6,17,True,7lp0,GENE REGULATION/INHIBITOR,2,15,CN1CCC[C@@H](Nc2cnn(C)c(=O)c2Cl)C1,1,7lp0__1__1.A__1.C__1.C,7lp0__1__1.A__1.C,7k6r__1__1.A__1.B,83.0,67.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.C,72.06527959702021,71.36674212113266,85.93914572172687,88.43006568262479,85.93914572172687,85.93914572172687,88.43006568262479,88.43006568262479,71.36674212113266,71.36674212113266,72.06527959702021,72.06527959702021,2020-12-09,True,7lp0__1__1.A__1.C,7k6r__1__1.A__1.B,83.0,67.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.C,72.06527959702021,71.36674212113266,85.93914572172687,88.43006568262479,0.5513196480938416,85.93914572172687,85.93914572172687,88.43006568262479,88.43006568262479,71.36674212113266,71.36674212113266,72.06527959702021,72.06527959702021,2020-12-09,True,1,1,1,2022-08-10,100.0,55.13196480938416,43.103448275862064,100.0
7lpk__1__1.A__1.C,Y9P,c7,228.077788716,1.C,2,58.95,6,15,True,7lpk,GENE REGULATION/INHIBITOR,2,16,Cn1ncc(N[C@@H]2CCNC2)c(Cl)c1=O,0,7lpk__1__1.A__1.C__1.C,7lpk__1__1.A__1.C,7k6r__1__1.A__1.B,50.0,50.0,100.0,94.0,97.0,91.0,94.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,99.0,99.0,99.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.C,58.5545517599051,64.62293863937435,73.35144338888011,84.02080808770408,68.9503567855473,66.7498134838809,78.97955960244184,76.45893535981072,60.74556232101189,58.80687416183066,55.0412786543108,53.28464210151365,2020-12-09,True,7lpk__1__1.A__1.C,6j3o__1__1.A__1.C,67.0,67.0,75.0,75.0,93.0,93.0,100.0,48.0,40.0,40.0,40.0,48.0,48.0,88.0,75.0,75.0,75.0,88.0,88.0,85.0,85.0,85.0,63.0,54.0,54.0,54.0,63.0,63.0,1.C,44.18542705328489,87.32985851864419,63.62984123388243,78.25683182073524,0.2468619246861924,63.62984123388243,59.17575234751067,78.25683182073524,72.77885359328378,87.32985851864419,81.2167684223391,44.18542705328489,41.09244715955495,2019-05-01,True,1,1,1,2022-08-10,100.0,48.31243972999036,36.0655737704918,100.0
