system_id,proper_ligand_chain
5s9y__1__1.A__1.K,1.K
5s9z__1__1.A_1.B__1.R,1.R
5sau__1__1.A__1.B,1.B
5sav__1__1.A__1.B,1.B
5saw__1__1.A__1.B,1.B
5sb2__1__1.A__1.G,1.G
5sdh__1__1.A_1.B__1.F,1.F
5sdu__1__1.A__1.G,1.G
5sdy__1__1.A__1.D,1.D
5se0__1__1.A__1.G,1.G
5se2__1__1.A__1.G,1.G
5se3__1__1.A__1.G,1.G
5se5__1__1.A__1.G,1.G
5se6__1__1.A__1.G,1.G
5se8__1__1.A__1.G,1.G
5se9__1__1.A__1.G,1.G
5sea__1__1.A__1.G,1.G
5seb__1__1.A__1.G,1.G
5sec__1__1.A__1.G,1.G
5see__1__1.A__1.E,1.E
5seh__1__1.A__1.G,1.G
5sek__1__1.A__1.G,1.G
5sel__1__1.A__1.G,1.G
5sem__1__1.A__1.G,1.G
5sen__1__1.A__1.G,1.G
5seo__1__1.A__1.G,1.G
5sex__1__1.A__1.G,1.G
5sez__1__1.A__1.G,1.G
5sf0__1__1.A__1.G,1.G
5sf1__1__1.A__1.E,1.E
5sf4__1__1.A__1.G,1.G
5sf7__1__1.A__1.G,1.G
5sfc__1__1.A__1.G,1.G
5sfd__1__1.A__1.G,1.G
5sfg__1__1.A__1.G,1.G
5sfh__1__1.A__1.G,1.G
5sfl__1__1.A__1.G,1.G
5sfn__1__1.A__1.G,1.G
5sfo__1__1.A__1.G,1.G
5sfp__1__1.A__1.G,1.G
5sfr__1__1.A__1.G,1.G
5sfx__1__1.A__1.G,1.G
5sfy__1__1.A__1.G,1.G
5sg0__1__1.A__1.G,1.G
5sg5__1__1.A__1.G,1.G
5sg6__1__1.A__1.G,1.G
5sg9__1__1.A__1.G,1.G
5sgg__1__1.A__1.G,1.G
5sgh__1__1.A__1.G,1.G
5sgk__1__1.A__1.G,1.G
5sgl__1__1.A__1.G,1.G
5sgm__1__1.A__1.D,1.D
5sgp__1__1.A__1.H,1.H
5sgr__1__1.A__1.G,1.G
5sgs__1__1.A__1.G,1.G
5sgt__1__1.A__1.G,1.G
5sgu__1__1.A__1.G,1.G
5sgw__1__1.A__1.G,1.G
5sgx__1__1.A__1.G,1.G
5sgz__1__1.A__1.G,1.G
5sh0__1__1.A__1.G,1.G
5sh1__1__1.A__1.G,1.G
5sh2__1__1.A__1.G,1.G
5sh6__1__1.A__1.G,1.G
5sh8__1__1.A__1.E,1.E
5shc__1__1.A__1.G,1.G
5shf__1__1.A__1.G,1.G
5shg__1__1.A__1.G,1.G
5shh__1__1.A__1.G,1.G
5shi__1__1.A__1.E,1.E
5shk__1__1.A__1.G,1.G
5shp__1__1.A__1.G,1.G
5shr__1__1.A__1.G,1.G
5shu__1__1.A__1.G,1.G
5shw__1__1.A__1.G,1.G
5shx__1__1.A__1.G,1.G
5si3__1__1.A__1.E,1.E
5si5__1__1.A__1.G,1.G
5si6__1__1.A__1.G,1.G
5si7__1__1.A__1.G,1.G
5si8__1__1.A__1.G,1.G
5si9__1__1.A__1.G,1.G
5sie__1__1.A__1.G,1.G
5sif__1__1.A__1.I,1.I
5sig__1__1.A__1.G,1.G
5sih__1__1.A__1.H,1.H
5sio__1__1.A__1.H,1.H
5sip__1__1.A__1.G,1.G
5siq__1__1.A__1.H,1.H
5sir__1__1.A__1.G,1.G
5siy__1__1.A__1.G,1.G
5siz__1__1.A__1.G,1.G
5sj1__1__1.A__1.G,1.G
5sj7__1__1.A__1.G,1.G
5sj8__1__1.A__1.G,1.G
5sjb__1__1.A__1.G,1.G
5sjc__1__1.A__1.F,1.F
5sjf__1__1.A__1.H,1.H
