system_id,status
5s9l__1__1.A__1.H_1.I,no_symmetry_contacts
5s9m__1__1.A__1.C_1.I,no_symmetry_contacts
5s9y__1__1.A__1.K,no_symmetry_contacts
5sau__1__1.A__1.B,no_symmetry_contacts
5sav__1__1.A__1.B,no_symmetry_contacts
5saw__1__1.A__1.B,no_symmetry_contacts
5sdh__1__1.A_1.B__1.F,no_symmetry_contacts
5sdu__1__1.A__1.G,no_symmetry_contacts
5sdy__1__1.A__1.D,no_symmetry_contacts
5se0__1__1.A__1.G,no_symmetry_contacts
5se2__1__1.A__1.G,no_symmetry_contacts
5se3__1__1.A__1.G,no_symmetry_contacts
5se5__1__1.A__1.G,no_symmetry_contacts
5se6__1__1.A__1.G,no_symmetry_contacts
5se8__1__1.A__1.G,no_symmetry_contacts
5se9__1__1.A__1.G,no_symmetry_contacts
5sea__1__1.A__1.G,no_symmetry_contacts
5seb__1__1.A__1.G,no_symmetry_contacts
5sec__1__1.A__1.G,no_symmetry_contacts
5see__1__1.A__1.E,no_symmetry_contacts
5seh__1__1.A__1.G,no_symmetry_contacts
5sek__1__1.A__1.G,no_symmetry_contacts
5sel__1__1.A__1.G,no_symmetry_contacts
5sem__1__1.A__1.G,no_symmetry_contacts
5sen__1__1.A__1.G,no_symmetry_contacts
5seo__1__1.A__1.G,no_symmetry_contacts
5sex__1__1.A__1.G,no_symmetry_contacts
5sez__1__1.A__1.G,no_symmetry_contacts
5sf0__1__1.A__1.G,no_symmetry_contacts
5sf1__1__1.A__1.E,no_symmetry_contacts
5sf4__1__1.A__1.G,no_symmetry_contacts
5sf7__1__1.A__1.G,no_symmetry_contacts
5sfc__1__1.A__1.G,no_symmetry_contacts
5sfd__1__1.A__1.G,no_symmetry_contacts
5sfg__1__1.A__1.G,no_symmetry_contacts
5sfh__1__1.A__1.G,no_symmetry_contacts
5sfl__1__1.A__1.G,no_symmetry_contacts
5sfn__1__1.A__1.G,no_symmetry_contacts
5sfo__1__1.A__1.G,no_symmetry_contacts
5sfp__1__1.A__1.G,no_symmetry_contacts
5sfr__1__1.A__1.G,no_symmetry_contacts
5sfx__1__1.A__1.G,no_symmetry_contacts
5sfy__1__1.A__1.G,no_symmetry_contacts
5sg0__1__1.A__1.G,no_symmetry_contacts
5sg5__1__1.A__1.G,no_symmetry_contacts
5sg6__1__1.A__1.G,no_symmetry_contacts
5sg9__1__1.A__1.G,no_symmetry_contacts
5sgg__1__1.A__1.G,no_symmetry_contacts
5sgh__1__1.A__1.G,no_symmetry_contacts
5sgk__1__1.A__1.G,no_symmetry_contacts
5sgl__1__1.A__1.G,no_symmetry_contacts
5sgm__1__1.A__1.D,no_symmetry_contacts
5sgp__1__1.A__1.H,no_symmetry_contacts
5sgr__1__1.A__1.G,no_symmetry_contacts
5sgs__1__1.A__1.G,no_symmetry_contacts
5sgt__1__1.A__1.G,no_symmetry_contacts
5sgu__1__1.A__1.G,no_symmetry_contacts
5sgw__1__1.A__1.G,no_symmetry_contacts
5sgx__1__1.A__1.G,no_symmetry_contacts
5sgz__1__1.A__1.G,no_symmetry_contacts
5sh0__1__1.A__1.G,no_symmetry_contacts
5sh1__1__1.A__1.G,no_symmetry_contacts
5sh2__1__1.A__1.G,no_symmetry_contacts
5sh6__1__1.A__1.G,no_symmetry_contacts
5sh8__1__1.A__1.E,no_symmetry_contacts
5shc__1__1.A__1.G,no_symmetry_contacts
5shf__1__1.A__1.G,no_symmetry_contacts
5shg__1__1.A__1.G,no_symmetry_contacts
5shh__1__1.A__1.G,no_symmetry_contacts
5shi__1__1.A__1.E,no_symmetry_contacts
5shk__1__1.A__1.G,no_symmetry_contacts
5shp__1__1.A__1.G,no_symmetry_contacts
5shr__1__1.A__1.G,no_symmetry_contacts
5shu__1__1.A__1.G,no_symmetry_contacts
5shw__1__1.A__1.G,no_symmetry_contacts
5shx__1__1.A__1.G,no_symmetry_contacts
5si3__1__1.A__1.E,no_symmetry_contacts
5si5__1__1.A__1.G,no_symmetry_contacts
5si6__1__1.A__1.G,no_symmetry_contacts
5si7__1__1.A__1.G,no_symmetry_contacts
5si8__1__1.A__1.G,no_symmetry_contacts
5si9__1__1.A__1.G,no_symmetry_contacts
5sie__1__1.A__1.G,no_symmetry_contacts
5sif__1__1.A__1.I,no_symmetry_contacts
5sig__1__1.A__1.G,no_symmetry_contacts
5sih__1__1.A__1.H,no_symmetry_contacts
5sio__1__1.A__1.H,no_symmetry_contacts
5sip__1__1.A__1.G,no_symmetry_contacts
5siq__1__1.A__1.H,no_symmetry_contacts
5sir__1__1.A__1.G,no_symmetry_contacts
5siy__1__1.A__1.G,no_symmetry_contacts
5siz__1__1.A__1.G,no_symmetry_contacts
5sj1__1__1.A__1.G,no_symmetry_contacts
5sj7__1__1.A__1.G,no_symmetry_contacts
5sj8__1__1.A__1.G,no_symmetry_contacts
5sjb__1__1.A__1.G,no_symmetry_contacts
5sjc__1__1.A__1.F,no_symmetry_contacts
5sjf__1__1.A__1.H,no_symmetry_contacts
5sjg__1__1.A__1.G,no_symmetry_contacts
5sjl__1__1.A__1.G,no_symmetry_contacts
5sjo__1__1.A__1.H,no_symmetry_contacts
5sjt__1__1.A__1.H,no_symmetry_contacts
5sju__1__1.A__1.G,no_symmetry_contacts
5sjv__1__1.A__1.G,no_symmetry_contacts
5sjw__1__1.A__1.I,no_symmetry_contacts
5sk0__1__1.A__1.G,no_symmetry_contacts
5sk4__1__1.A__1.G,no_symmetry_contacts
5sk5__1__1.A__1.H,no_symmetry_contacts
5sk6__1__1.A__1.G,no_symmetry_contacts
5sk9__1__1.A__1.G,no_symmetry_contacts
5skd__1__1.A__1.G,no_symmetry_contacts
5ske__1__1.A__1.G,no_symmetry_contacts
5skf__1__1.A__1.I,no_symmetry_contacts
5skg__1__1.A__1.G,no_symmetry_contacts
5skh__1__1.A__1.H,no_symmetry_contacts
5ski__1__1.A__1.G,no_symmetry_contacts
5skl__1__1.A__1.G,no_symmetry_contacts
5skm__1__1.A__1.G,no_symmetry_contacts
5sko__1__1.A__1.G,no_symmetry_contacts
5skr__1__1.A__1.G,no_symmetry_contacts
5skt__1__1.A__1.G,no_symmetry_contacts
5sku__1__1.A__1.G,no_symmetry_contacts
5slg__1__1.A__1.G,no_symmetry_contacts
5umb__1__1.A__1.E_1.F_1.G,no_symmetry_contacts
6th4__1__1.C_1.D__1.T,no_symmetry_contacts
6xqr__1__1.B__1.E,no_symmetry_contacts
6z48__1__1.B__1.J,no_symmetry_contacts
6zfz__1__1.A__1.B,no_symmetry_contacts
6zg4__1__1.A__1.B,no_symmetry_contacts
6zg9__1__1.A__1.B,no_symmetry_contacts
6zk2__1__1.A_1.B__1.E_1.F,no_symmetry_contacts
6zk5__1__1.A_1.B__1.F_1.G,no_symmetry_contacts
7a4q__1__1.A__1.B,no_symmetry_contacts
7a9g__1__1.A_1.B__1.O_1.P,no_symmetry_contacts
7a9h__1__1.A_1.B__1.C_1.D,no_symmetry_contacts
7aag__1__1.A__1.G_1.H,no_symmetry_contacts
7ab9__1__1.A__1.G_1.P,no_symmetry_contacts
7abe__1__1.A__1.G_1.W,no_symmetry_contacts
7abj__1__1.A__1.T,no_symmetry_contacts
7afz__1__2.A__2.B_2.C_2.D,no_symmetry_contacts
7ait__1__1.A__1.C,no_symmetry_contacts
7aiu__1__1.A__1.H,no_symmetry_contacts
7aiw__1__2.B__2.M,no_symmetry_contacts
7an8__1__1.B__1.E,no_symmetry_contacts
7ana__1__1.A__1.C,no_symmetry_contacts
7ay9__1__1.A__1.I,no_symmetry_contacts
7aya__1__1.A__1.H_1.N_1.U,no_symmetry_contacts
7ayz__1__1.A__1.D,no_symmetry_contacts
7b2u__1__1.A_1.B__1.C,no_symmetry_contacts
7b3g__1__1.A__1.I,no_symmetry_contacts
7b3h__1__1.A__1.H,no_symmetry_contacts
7b3i__1__1.A__1.I,no_symmetry_contacts
7b3p__1__1.A__1.G,no_symmetry_contacts
7b3x__1__1.A__1.F,no_symmetry_contacts
7b4x__1__1.A__1.M,no_symmetry_contacts
7b6v__1__1.C_1.D__1.Y,no_symmetry_contacts
7b87__1__1.A__1.N,no_symmetry_contacts
7b89__1__1.A__1.D,no_symmetry_contacts
7b9p__1__1.A_2.A__1.B_1.C,no_symmetry_contacts
7bbn__1__1.B__1.E_1.F,no_symmetry_contacts
7bc9__1__1.A__1.J,no_symmetry_contacts
7bcf__1__1.A__1.H,no_symmetry_contacts
7bdd__1__1.A__1.G,no_symmetry_contacts
7bi6__1__1.A__1.B_1.G,no_symmetry_contacts
7blw__1__1.A__1.F,no_symmetry_contacts
7bm3__1__1.A__1.M_1.P,no_symmetry_contacts
7bm7__1__1.A__1.F,no_symmetry_contacts
7bmd__1__1.A__1.G_1.R,no_symmetry_contacts
7bn5__1__1.A__1.G,no_symmetry_contacts
7bn7__1__1.A__1.E_1.F,no_symmetry_contacts
7bn8__1__1.A__1.G,no_symmetry_contacts
7bnc__1__1.A__1.K,no_symmetry_contacts
7bo3__1__1.A__1.M_1.N,no_symmetry_contacts
7bo7__1__1.A__1.C,no_symmetry_contacts
7cqs__1__1.A__1.B_1.C,no_symmetry_contacts
7dcb__1__1.A_1.B__1.C_1.D,no_symmetry_contacts
7dcw__1__1.A_1.B__1.D,no_symmetry_contacts
7dg4__1__1.A__1.B,no_symmetry_contacts
7dgc__1__1.A_1.B__1.C_1.D,no_symmetry_contacts
7dh3__1__1.A__1.B,no_symmetry_contacts
7dh9__1__1.A__1.B,no_symmetry_contacts
7dhn__1__1.A__1.B,no_symmetry_contacts
7di7__1__1.A__1.D,no_symmetry_contacts
7dia__1__1.A__1.D_1.E_1.G,no_symmetry_contacts
7dij__1__1.A__1.F_1.J,no_symmetry_contacts
7dji__1__1.D_1.E__1.L,no_symmetry_contacts
7dlc__1__1.A_1.B__1.C_1.D,no_symmetry_contacts
7dm6__1__1.A_1.B__1.C_1.D,no_symmetry_contacts
7dml__1__1.A__1.E,no_symmetry_contacts
7dn8__1__1.B__1.I_1.J,no_symmetry_contacts
7dnn__1__1.A_1.B__1.E,no_symmetry_contacts
7dow__1__1.A_1.B__1.C,no_symmetry_contacts
7dox__1__1.A_1.B__1.E_1.F,no_symmetry_contacts
7doy__1__1.A_1.B__1.E,no_symmetry_contacts
7dpk__1__1.A_1.B__1.C_1.D,no_symmetry_contacts
7du9__1__1.A_1.B__1.D,no_symmetry_contacts
7dua__1__1.B__1.D,no_symmetry_contacts
7dut__1__2.A__2.B_2.C,no_symmetry_contacts
7duy__1__1.A__1.B_1.C_1.D,no_symmetry_contacts
7dva__1__1.A__1.C_1.E,no_symmetry_contacts
7dvb__1__1.A__1.E,no_symmetry_contacts
7dw7__1__1.A__1.B_1.JB_1.KB_1.LB,no_symmetry_contacts
7dxl__1__1.A__1.C,no_symmetry_contacts
7dyq__1__1.A__1.B_1.C,no_symmetry_contacts
7dyw__1__1.A__1.B_1.C,no_symmetry_contacts
7e1g__1__1.A__1.C_1.D,no_symmetry_contacts
7e1n__1__1.A_1.B__1.D,no_symmetry_contacts
7e60__1__1.A__1.B_1.C,no_symmetry_contacts
7eba__1__1.A__1.C,no_symmetry_contacts
7ed1__1__1.A_1.B__1.C_1.D_1.E_1.F,no_symmetry_contacts
7ed2__1__1.A_1.B__1.F_1.G_1.H,no_symmetry_contacts
7ee5__1__1.A__1.H,no_symmetry_contacts
7ei4__1__1.A_1.B_1.C__1.F,no_symmetry_contacts
7ejv__1__1.B__1.D,no_symmetry_contacts
7ejw__1__1.A_1.B__1.I_1.J,no_symmetry_contacts
7ekr__1__1.A__1.C,no_symmetry_contacts
7elt__1__2.A__2.B,no_symmetry_contacts
7ems__1__1.A__1.D,no_symmetry_contacts
7ene__1__1.A_1.B__1.E,no_symmetry_contacts
7eqk__1__1.B__1.F_1.G,no_symmetry_contacts
7er2__1__1.A__1.B,no_symmetry_contacts
7es1__1__1.A__1.C,no_symmetry_contacts
7esb__1__1.A__1.B_1.C_1.D_1.E,no_symmetry_contacts
7esc__1__1.A__1.B_1.C,no_symmetry_contacts
7eue__1__1.B__1.F,no_symmetry_contacts
7euz__1__1.B__1.E_1.F,no_symmetry_contacts
7eve__1__1.A__1.B_1.C_1.D,no_symmetry_contacts
7ex2__1__1.A__1.C_1.D_1.E,no_symmetry_contacts
7exp__1__1.B__1.H_1.I,no_symmetry_contacts
7exu__1__1.A__1.C,no_symmetry_contacts
7eyt__1__1.A_1.C__1.E_1.F_1.G,no_symmetry_contacts
7eyu__1__1.A_1.B__1.C_1.D_1.E,no_symmetry_contacts
7ezf__1__1.B__1.G,no_symmetry_contacts
7ezp__1__1.D__1.L,no_symmetry_contacts
7ezq__1__2.A__2.B_2.C,no_symmetry_contacts
7ezr__1__1.B__1.G,no_symmetry_contacts
7f06__1__1.A__1.C,no_symmetry_contacts
7f10__1__1.B__1.C,no_symmetry_contacts
7f14__1__1.B__1.D,no_symmetry_contacts
7f1u__1__1.A_1.B__1.E,no_symmetry_contacts
7f1v__1__1.C_1.D__1.F,no_symmetry_contacts
7f21__1__1.A__1.C_1.D,no_symmetry_contacts
7f2k__1__1.A__1.C_1.D_1.E,no_symmetry_contacts
7f2l__1__1.A__1.C_1.D_1.E,no_symmetry_contacts
7f2m__1__1.A__1.C_1.D_1.E,no_symmetry_contacts
7f2u__1__1.A__1.C_1.D_1.E,no_symmetry_contacts
7f42__1__1.B__1.C,no_symmetry_contacts
7f4c__1__1.A__1.C_1.D,no_symmetry_contacts
7f50__1__1.A__1.B_1.C_1.E,no_symmetry_contacts
7f6j__1__1.A__1.D_1.E,no_symmetry_contacts
7f6w__1__2.A__2.B,no_symmetry_contacts
7f7d__1__2.A__2.B,no_symmetry_contacts
7f83__1__1.B__1.J,no_symmetry_contacts
7f8t__1__1.A__1.L_1.M,no_symmetry_contacts
7f8u__1__1.A__1.B,no_symmetry_contacts
7fai__1__1.A__1.E,no_symmetry_contacts
7faj__1__1.A__1.E,no_symmetry_contacts
7fak__1__1.A__1.B,no_symmetry_contacts
7faq__1__1.A__1.B_1.C_1.D_1.E,no_symmetry_contacts
7far__1__1.A__1.B_1.C_1.D,no_symmetry_contacts
7fcz__1__2.B__2.D,no_symmetry_contacts
7fd0__1__1.A__1.C,no_symmetry_contacts
7fd6__1__1.A__1.B,no_symmetry_contacts
7fe2__1__1.A__1.E_1.I,no_symmetry_contacts
7fee__1__1.A__1.D,no_symmetry_contacts
7fee__1__1.A__1.E,no_symmetry_contacts
7fgc__1__1.B__1.E,no_symmetry_contacts
7fgd__1__1.B__1.E,no_symmetry_contacts
7fgm__1__1.A__1.C_1.D_1.E,no_symmetry_contacts
7fgp__1__1.A__1.C_1.G,no_symmetry_contacts
7fha__1__1.A__1.C,no_symmetry_contacts
7fhb__1__1.A__1.B,no_symmetry_contacts
7fhs__1__1.A__1.E_1.G,no_symmetry_contacts
7fis__1__1.D__1.CA_1.Y,no_symmetry_contacts
7fja__1__1.A__1.C_1.D,no_symmetry_contacts
7fnt__1__1.B__1.C,no_symmetry_contacts
7fsd__1__1.A__1.I,no_symmetry_contacts
7fti__1__1.A__1.C,no_symmetry_contacts
7ftm__1__1.A__1.C,no_symmetry_contacts
7ftv__1__1.A__1.C,no_symmetry_contacts
7ftw__1__1.A__1.C,no_symmetry_contacts
7ftz__1__1.A__1.D,no_symmetry_contacts
7fu2__1__1.A__1.C,no_symmetry_contacts
7fu6__1__1.A__1.C,no_symmetry_contacts
7fu7__1__1.A__1.C,no_symmetry_contacts
7fu8__1__1.A__1.C,no_symmetry_contacts
7fuc__1__1.A__1.C,no_symmetry_contacts
7fuf__1__1.A__1.C,no_symmetry_contacts
7fum__1__1.A__1.C,no_symmetry_contacts
7fw3__1__1.A__1.B,no_symmetry_contacts
7fwb__1__1.A__1.B,no_symmetry_contacts
7fwe__1__1.A__1.B,no_symmetry_contacts
7fwh__1__1.A__1.B,no_symmetry_contacts
7fwi__1__1.A__1.D,no_symmetry_contacts
7fwl__1__1.A__1.B,no_symmetry_contacts
7fwm__1__1.A__1.B,no_symmetry_contacts
7fwn__1__1.A__1.D,no_symmetry_contacts
7fwr__1__1.A__1.B,no_symmetry_contacts
7fx1__1__1.A__1.B,no_symmetry_contacts
7fxi__1__1.A__1.D,no_symmetry_contacts
7fy8__1__1.A__1.I_1.J,no_symmetry_contacts
7fyr__1__1.A__1.B,no_symmetry_contacts
7fys__1__1.A__1.B,no_symmetry_contacts
7fyx__1__1.A__1.C,no_symmetry_contacts
7fz0__1__1.A__1.E,no_symmetry_contacts
7fz3__1__1.A__1.B,no_symmetry_contacts
7fzc__1__1.A__1.B,no_symmetry_contacts
7fzl__1__1.A__1.B,no_symmetry_contacts
7fzs__1__1.A__1.B,no_symmetry_contacts
7g00__1__1.A__1.Q,no_symmetry_contacts
7g07__1__1.A__1.B,no_symmetry_contacts
7g0g__1__1.A__1.B,no_symmetry_contacts
7g0j__1__1.A__1.D,no_symmetry_contacts
7g0t__1__1.A__1.B,no_symmetry_contacts
7g10__1__1.A__1.D,no_symmetry_contacts
7g1b__1__1.A__1.B,no_symmetry_contacts
7g1e__1__1.A__1.C,no_symmetry_contacts
7g1j__1__1.A__1.B,no_symmetry_contacts
7g1m__1__1.A__1.B,no_symmetry_contacts
