system_id,proper_ligand_chain
5s9l__1__1.A__1.H_1.I,1.H
5s9m__1__1.A__1.C_1.I,1.C
5s9y__1__1.A__1.K,1.K
5s9z__1__1.A_1.B__1.R,1.R
5sau__1__1.A__1.B,1.B
5sav__1__1.A__1.B,1.B
5saw__1__1.A__1.B,1.B
5sb2__1__1.A__1.G,1.G
5sdh__1__1.A_1.B__1.F,1.F
5sdu__1__1.A__1.G,1.G
5sdy__1__1.A__1.D,1.D
5se0__1__1.A__1.G,1.G
5se2__1__1.A__1.G,1.G
5se3__1__1.A__1.G,1.G
5se5__1__1.A__1.G,1.G
5se6__1__1.A__1.G,1.G
5se8__1__1.A__1.G,1.G
5se9__1__1.A__1.G,1.G
5sea__1__1.A__1.G,1.G
5seb__1__1.A__1.G,1.G
5sec__1__1.A__1.G,1.G
5see__1__1.A__1.E,1.E
5seh__1__1.A__1.G,1.G
5sek__1__1.A__1.G,1.G
5sel__1__1.A__1.G,1.G
5sem__1__1.A__1.G,1.G
5sen__1__1.A__1.G,1.G
5seo__1__1.A__1.G,1.G
5sex__1__1.A__1.G,1.G
5sez__1__1.A__1.G,1.G
5sf0__1__1.A__1.G,1.G
5sf1__1__1.A__1.E,1.E
5sf4__1__1.A__1.G,1.G
5sf7__1__1.A__1.G,1.G
5sfc__1__1.A__1.G,1.G
5sfd__1__1.A__1.G,1.G
5sfg__1__1.A__1.G,1.G
5sfh__1__1.A__1.G,1.G
5sfl__1__1.A__1.G,1.G
5sfn__1__1.A__1.G,1.G
5sfo__1__1.A__1.G,1.G
5sfp__1__1.A__1.G,1.G
5sfr__1__1.A__1.G,1.G
5sfx__1__1.A__1.G,1.G
5sfy__1__1.A__1.G,1.G
5sg0__1__1.A__1.G,1.G
5sg5__1__1.A__1.G,1.G
5sg6__1__1.A__1.G,1.G
5sg9__1__1.A__1.G,1.G
5sgg__1__1.A__1.G,1.G
5sgh__1__1.A__1.G,1.G
5sgk__1__1.A__1.G,1.G
5sgl__1__1.A__1.G,1.G
5sgm__1__1.A__1.D,1.D
5sgp__1__1.A__1.H,1.H
5sgr__1__1.A__1.G,1.G
5sgs__1__1.A__1.G,1.G
