system_id,ligand_instance_chain,lddt_pli,rmsd,autodock_vina_8_ok,autodock_vina_32_ok,qvina_w_ok,quickvina2_ok,autodock_gpu_ok,n_other_ok,ref_lddt_pli,ref_rmsd,lddt_pli_gap,rmsd_gap
5sez__1__1.A__1.G,1.G,0.8213840126991272,2.1575822830200195,0,1,0,1,0,2,0.2272051572799682,9.931193351745604,-0.5941788554191589,-7.773611068725584
5sf4__1__1.A__1.G,1.G,0.2225121855735778,7.30585241317749,0,1,0,0,1,2,0.1917441040277481,8.06945514678955,-0.03076808154582969,-0.7636027336120605
5sfy__1__1.A__1.G,1.G,0.2473147213459015,9.654267311096191,0,0,0,0,1,1,0.2470556795597076,9.761822700500488,-0.0002590417861938754,-0.10755538940429688
5sfl__1__1.A__1.G,1.G,0.2243415117263794,7.26132869720459,0,0,0,0,1,1,0.2097419947385788,7.710822105407715,-0.014599516987800598,-0.449493408203125
5sgs__1__1.A__1.G,1.G,0.1993554383516311,8.939779281616211,1,1,0,1,0,3,0.882440447807312,1.2321991920471191,0.6830850094556808,7.707580089569092
5sfc__1__1.A__1.G,1.G,0.3566636741161346,5.072981357574463,0,0,0,0,1,1,0.1099320873618125,9.703466415405272,-0.2467315867543221,-4.630485057830809
5sg9__1__1.A__1.G,1.G,0.2009990513324737,9.00506591796875,0,0,0,0,1,1,0.2319526672363281,9.611124992370604,0.030953615903854398,-0.6060590744018537
5sg5__1__1.A__1.G,1.G,0.7038014531135559,2.323279857635498,0,0,0,0,1,1,0.094221107661724,10.01319408416748,-0.6095803454518319,-7.689914226531982
5sgm__1__1.A__1.D,1.D,0.1969630271196365,10.731769561767578,0,1,0,0,0,1,0.2045454531908035,9.072263717651367,0.007582426071166992,1.659505844116211
5sgx__1__1.A__1.G,1.G,0.2944958806037903,7.312567710876465,0,1,0,0,0,1,0.2197452187538147,10.315719604492188,-0.07475066184997559,-3.0031518936157227
5shu__1__1.A__1.G,1.G,0.1944190263748169,9.43931484222412,0,0,0,1,0,1,0.2007113844156265,8.758444786071777,0.006292358040809604,0.680870056152342
5sh2__1__1.A__1.G,1.G,0.210977703332901,9.46627140045166,1,0,0,0,0,1,0.9496688842773438,0.6236139535903931,0.7386911809444427,8.842657446861267
5si6__1__1.A__1.G,1.G,0.1066265031695365,9.284728050231934,0,0,0,0,1,1,0.197674423456192,7.0970563888549805,0.0910479202866555,2.187671661376953
5si8__1__1.A__1.G,1.G,0.0995045453310012,9.70827293395996,0,0,0,0,1,1,0.1725325137376785,7.47617769241333,0.0730279684066773,2.232095241546629
5siy__1__1.A__1.G,1.G,0.376893937587738,7.380161285400391,0,0,0,0,1,1,0.374628335237503,6.799831390380859,-0.0022656023502349854,0.5803298950195312
5sj8__1__1.A__1.G,1.G,0.4422799348831177,4.252241611480713,0,1,0,1,0,2,0.4384164214134216,4.89542293548584,-0.0038635134696961004,-0.643181324005127
5sir__1__1.A__1.G,1.G,0.4224040508270263,4.809489727020264,0,0,0,1,1,2,0.2119791656732559,9.83579921722412,-0.21042488515377042,-5.026309490203856
5sjc__1__1.A__1.F,1.F,0.1152108460664749,10.049636840820312,0,0,0,0,1,1,0.1435692906379699,7.6113786697387695,0.028358444571494987,2.438258171081543
5sk0__1__1.A__1.G,1.G,0.2112854272127151,9.362709999084473,0,1,0,0,1,2,0.1629186570644378,7.892931461334228,-0.04836677014827728,1.469778537750245
5sko__1__1.A__1.G,1.G,0.1776532679796219,9.400081634521484,1,1,0,0,1,3,1.0,0.3467749655246734,0.8223467320203781,9.053306668996811
7b3x__1__1.A__1.F,1.F,0.2512575387954712,7.677603244781494,0,1,0,0,1,2,0.31784188747406,5.361783981323242,0.06658434867858881,2.315819263458252
7a4q__1__1.A__1.B,1.B,0.2706339657306671,8.626564979553223,0,1,0,0,1,2,0.5830849409103394,2.7733592987060547,0.31245097517967224,5.853205680847168
7ana__1__1.A__1.C,1.C,0.0483870953321456,14.225083351135254,0,0,0,1,0,1,0.6271393895149231,2.2523651123046875,0.5787522941827775,11.972718238830566
7abj__1__1.A__1.T,1.T,0.7839366793632507,1.9976481199264529,0,0,1,1,0,2,0.7511609792709351,2.3823392391204834,-0.032775700092315674,-0.38469111919403054
7b87__1__1.A__1.N,1.N,0.3533415794372558,5.5449538230896,1,1,0,0,0,2,0.903949737548828,0.8131132125854492,0.5506081581115723,4.73184061050415
7b6v__1__1.C_1.D__1.Y,1.Y,0.0572240278124809,15.074783325195312,1,0,0,0,0,1,0.9060975313186646,1.0613317489624023,0.8488735035061836,14.01345157623291
7b77__1__1.A_2.A__1.F,1.F,0.7971428632736206,1.3370485305786133,1,1,1,0,0,3,0.8454680442810059,1.149406909942627,0.048325181007385254,0.18764162063598633
7bc9__1__1.A__1.J,1.J,0.3107191324234009,6.477500915527344,0,0,1,1,0,2,0.2802672982215881,7.001530170440674,-0.0304518342018128,-0.5240292549133301
7bdd__1__1.A__1.G,1.G,0.7729166746139526,1.4925216436386108,0,0,0,0,1,1,0.3770595788955688,5.035098075866699,-0.39585709571838384,-3.5425764322280884
7dh9__1__1.A__1.B,1.B,0.7664557099342346,2.3167903423309326,1,1,1,1,0,4,0.8537930846214294,1.1997172832489014,0.08733737468719482,1.1170730590820312
7dhn__1__1.A__1.B,1.B,0.3504171669483185,6.019084930419922,0,0,0,0,1,1,0.8382353186607361,2.2119877338409424,0.4878181517124176,3.8070971965789795
7eba__1__1.A__1.C,1.C,0.1551584005355835,7.472370624542236,1,1,1,0,1,4,0.8501243591308594,1.415793776512146,0.6949659585952759,6.05657684803009
7en5__1__1.A_3.A_4.A__3.B,3.B,0.5408415794372559,3.5077295303344727,1,0,0,1,0,2,0.923655927181244,0.6903578639030457,0.38281434774398815,2.817371666431427
