system_id,ligand_instance_chain,lddt_pli,rmsd,failure_mode,n_chains,n_metals,metal_types,n_modified_res,modified_res,autodock_vina_8_ok,autodock_vina_32_ok,qvina_w_ok,quickvina2_ok,vina_gpu21_ok,vina_cuda_ok,autodock_gpu_ok,vina_meeko_ok,vinardock_meeko_ok
5sez__1__1.A__1.G,1.G,0.8213840126991272,2.1575822830200195,close-but-not-quite,1,0,,1,CME,False,True,False,False,False,False,False,False,False
5sf4__1__1.A__1.G,1.G,0.2225121855735778,7.30585241317749,far,1,0,,1,CME,False,True,False,False,False,False,False,False,False
5sgm__1__1.A__1.D,1.D,0.1969630271196365,10.731769561767578,far,1,0,,1,CME,False,True,False,False,False,False,False,False,False
5sgs__1__1.A__1.G,1.G,0.1993554383516311,8.939779281616211,far,1,0,,1,CME,True,True,False,False,False,False,False,False,False
5sgx__1__1.A__1.G,1.G,0.2944958806037903,7.312567710876465,far,1,0,,1,CME,False,True,False,False,False,False,False,False,False
5sh2__1__1.A__1.G,1.G,0.210977703332901,9.46627140045166,far,1,0,,1,CME,True,False,False,False,False,False,False,False,False
5shw__1__1.A__1.G,1.G,0.304869681596756,6.569940090179443,far,1,0,,1,CME,True,True,False,False,False,False,False,False,False
5sj8__1__1.A__1.G,1.G,0.4422799348831177,4.252241611480713,far,1,0,,1,CME,False,True,False,False,False,False,False,False,False
5sju__1__1.A__1.G,1.G,0.7682849764823914,2.26138687133789,moderate,1,0,,1,CME,False,True,False,False,False,False,False,False,False
5sk0__1__1.A__1.G,1.G,0.2112854272127151,9.362709999084473,far,1,0,,1,CME,False,True,False,False,False,False,False,False,False
5skf__1__1.A__1.I,1.I,0.7547814249992371,2.0439646244049072,moderate,1,0,,1,CME,False,True,False,False,False,False,False,False,False
5sko__1__1.A__1.G,1.G,0.1776532679796219,9.400081634521484,far,1,0,,1,CME,True,True,False,False,False,False,False,False,False
6xqr__1__1.B__1.E,1.E,0.675000011920929,2.0261964797973637,moderate,1,0,,1,KCX,True,True,False,False,False,False,False,False,False
7a4q__1__1.A__1.B,1.B,0.2706339657306671,8.626564979553223,far,1,0,,0,,False,True,False,False,False,False,False,False,False
7b3x__1__1.A__1.F,1.F,0.2512575387954712,7.677603244781494,far,1,0,,0,,False,True,False,False,False,False,False,False,False
7b6v__1__1.C_1.D__1.Y,1.Y,0.0572240278124809,15.074783325195312,far,2,0,,0,,True,False,False,False,False,False,False,False,False
7b77__1__1.A_2.A__1.F,1.F,0.7971428632736206,1.3370485305786133,moderate,5,0,,0,,True,True,False,False,False,False,False,False,False
7b87__1__1.A__1.N,1.N,0.3533415794372558,5.5449538230896,far,1,0,,0,,True,True,False,False,False,False,False,False,False
7b89__1__1.A__1.D,1.D,0.6916090250015259,2.016702890396118,moderate,1,0,,0,,True,False,False,False,False,False,False,False,False
7b8a__1__1.A__1.F,1.F,0.2118402272462844,8.329543113708496,far,3,0,,0,,True,True,False,False,False,False,False,False,False
7bis__1__1.A_2.A__2.F,2.F,0.7557823061943054,2.068369150161743,moderate,5,0,,0,,False,True,False,False,False,False,False,False,False
7dcw__1__1.A_1.B__1.D,1.D,0.3445608913898468,5.112302780151367,far,2,0,,0,,False,True,False,False,False,False,False,False,False
7dh9__1__1.A__1.B,1.B,0.7664557099342346,2.3167903423309326,moderate,1,0,,2,"PTR,SEP",True,True,False,False,False,False,False,False,False
7dxl__1__1.A__1.C,1.C,0.7427884340286255,2.095635175704956,moderate,1,0,,0,,True,True,False,False,False,False,False,False,False
7eba__1__1.A__1.C,1.C,0.1551584005355835,7.472370624542236,far,1,0,,0,,True,True,False,False,False,False,False,False,False
7en5__1__1.A_3.A_4.A__3.B,3.B,0.5408415794372559,3.5077295303344727,moderate,12,0,,0,,True,False,False,False,False,False,False,False,False
7en7__1__1.A_2.A_4.A__2.B,2.B,0.3775267601013183,4.3929972648620605,far,12,0,,0,,False,True,False,False,False,False,False,False,False
7f06__1__1.A__1.C,1.C,0.070481926202774,12.439969062805176,far,1,0,,0,,False,True,False,False,False,False,False,False,False
7faj__1__1.A__1.E,1.E,0.7933295369148254,1.6614171266555786,moderate,1,0,,0,,True,False,False,False,False,False,False,False,False
7fgd__1__1.B__1.E,1.E,0.0640243887901306,13.841089248657228,far,1,0,,0,,False,True,False,False,False,False,False,False,False
7fnt__1__1.B__1.C,1.C,0.904411792755127,2.033242702484131,close-but-not-quite,1,0,,0,,False,True,False,False,False,False,False,False,False
7fti__1__1.A__1.C,1.C,0.7133663296699524,3.0411691665649414,moderate,1,0,,0,,True,True,False,False,False,False,False,False,False
7ftv__1__1.A__1.C,1.C,0.2543142735958099,7.354197978973389,far,1,0,,0,,False,True,False,False,False,False,False,False,False
7fuc__1__1.A__1.C,1.C,0.8283718228340149,2.2855165004730225,close-but-not-quite,1,0,,0,,True,True,False,False,False,False,False,False,False
7fwe__1__1.A__1.B,1.B,0.5901442170143127,3.7201006412506095,moderate,1,0,,0,,True,True,False,False,False,False,False,False,False
7fwl__1__1.A__1.B,1.B,0.4332483112812042,4.110482215881348,far,1,0,,0,,True,True,False,False,False,False,False,False,False
7fys__1__1.A__1.B,1.B,0.4845833480358124,3.4326388835906982,far,1,0,,0,,True,True,False,False,False,False,False,False,False
7g0g__1__1.A__1.B,1.B,0.5578747391700745,3.1360676288604736,moderate,1,0,,0,,True,True,False,False,False,False,False,False,False
7g0t__1__1.A__1.B,1.B,0.6584786176681519,2.8297605514526367,moderate,1,0,,0,,True,True,False,False,False,False,False,False,False
7g1b__1__1.A__1.B,1.B,0.5378124713897705,3.282893419265747,moderate,1,0,,0,,True,True,False,False,False,False,False,False,False
7g1e__1__1.A__1.C,1.C,0.6143292784690857,2.485390901565552,moderate,1,0,,0,,True,True,False,False,False,False,False,False,False
7g1m__1__1.A__1.B,1.B,0.3972972929477691,4.537996768951416,far,1,0,,0,,True,True,False,False,False,False,False,False,False
7g20__1__1.A__1.B,1.B,0.5699001550674438,3.239429235458374,moderate,1,0,,0,,True,True,False,False,False,False,False,False,False
7gb8__1__1.A_2.A__1.F,1.F,0.1662768870592117,7.101819038391113,far,7,0,,0,,False,True,False,False,False,False,False,False,False
7gcj__1__1.A_2.A__1.E,1.E,0.1024999991059303,9.777552604675291,far,7,0,,0,,False,True,False,False,False,False,False,False,False
7gfl__1__1.A_2.A__2.E,2.E,0.1838905811309814,7.561323165893555,far,5,0,,0,,False,True,False,False,False,False,False,False,False
7gm0__1__1.A_1.B__1.N,1.N,0.0375598073005676,11.22852611541748,far,2,0,,0,,False,True,False,False,False,False,False,False,False
7grr__1__1.A__1.D,1.D,0.1876543164253235,7.214722156524658,far,1,0,,0,,False,True,False,False,False,False,False,False,False
7jhq__1__2.D__2.Q,2.Q,0.0709331631660461,14.884603500366213,far,1,0,,1,KCX,True,True,False,False,False,False,False,False,False
7l1p__1__1.A_1.B__1.C,1.C,0.301300585269928,9.382269859313965,far,2,0,,0,,False,True,False,False,False,False,False,False,False
7ldy__1__1.A_1.B__1.H,1.H,0.1859775185585022,8.362802505493164,far,2,0,,0,,False,True,False,False,False,False,False,False,False
7m9r__1__1.A_1.B__1.C,1.C,0.2033952623605728,7.902364730834961,far,2,0,,0,,False,True,False,False,False,False,False,False,False
7maq__1__1.A_1.B__1.C,1.C,0.7046821117401123,1.9937790632247925,moderate,2,0,,0,,False,True,False,False,False,False,False,False,False
7mlp__1__1.A__1.B,1.B,0.7325000166893005,1.7443170547485352,moderate,1,0,,0,,True,True,False,False,False,False,False,False,False
7mwn__1__1.A_1.B__1.C,1.C,0.7612866759300232,1.858137369155884,moderate,2,0,,0,,False,True,False,False,False,False,False,False,False
7nya__1__1.A_1.B__1.F,1.F,0.7065337896347046,1.921083927154541,moderate,2,0,,0,,True,True,False,False,False,False,False,False,False
7nzn__1__1.A_2.A__1.B,1.B,0.1166219860315322,13.111979484558104,far,4,0,,3,"PTR,PTR,PTR",True,True,False,False,False,False,False,False,False
7o7j__1__1.A__1.B,1.B,0.8178490996360779,2.275786876678467,close-but-not-quite,3,0,,2,"PTR,PTR",True,True,False,False,False,False,False,False,False
7o7k__1__1.A__1.E,1.E,0.8962427973747253,2.051778793334961,close-but-not-quite,1,0,,1,PTR,True,True,False,False,False,False,False,False,False
7ojy__1__1.A_1.B__1.D,1.D,0.2398511469364166,6.2702317237854,far,4,0,,0,,True,True,False,False,False,False,False,False,False
7osx__1__1.A__1.C,1.C,0.4659244120121002,4.418044567108154,far,1,0,,0,,True,True,False,False,False,False,False,False,False
7ouw__1__1.A__1.C,1.C,0.4223391115665436,4.716762065887451,far,1,0,,0,,False,True,False,False,False,False,False,False,False
7oy5__1__1.A__1.C,1.C,0.3359716236591339,5.265336513519287,far,1,0,,0,,True,True,False,False,False,False,False,False,False
7p1f__1__1.A__1.C,1.C,0.5619747638702393,3.564584493637085,moderate,1,0,,0,,False,True,False,False,False,False,False,False,False
7puq__1__1.C_1.D__1.K,1.K,0.7001689076423645,5.843080520629883,far,2,0,,0,,False,True,False,False,False,False,False,False,False
7q4f__1__1.A_1.C__1.J,1.J,0.7346860766410828,2.088346242904663,moderate,2,0,,0,,False,True,False,False,False,False,False,False,False
7q8z__1__1.A__1.E,1.E,0.0879860445857048,10.187426567077637,far,1,0,,0,,False,True,False,False,False,False,False,False,False
7qnn__1__1.A__1.C,1.C,0.5155688524246216,3.5187039375305176,moderate,1,0,,0,,True,True,False,False,False,False,False,False,False
7qt2__1__1.A_1.B__1.E,1.E,0.2390510886907577,7.795870304107666,far,2,0,,0,,False,True,False,False,False,False,False,False,False
7r0a__1__1.A__1.C,1.C,0.4085585474967956,5.559689998626709,far,1,0,,0,,True,True,False,False,False,False,False,False,False
7r4a__1__1.A__1.C,1.C,0.3380952477455139,5.59740686416626,far,1,0,,0,,False,True,False,False,False,False,False,False,False
7rls__1__1.A_2.A__2.B,2.B,0.3161938488483429,7.482958316802978,far,5,0,,0,,False,True,False,False,False,False,False,False,False
7rnp__1__1.A__1.E,1.E,0.6236945390701294,2.538473606109619,moderate,1,0,,0,,False,True,False,False,False,False,False,False,False
7rof__1__1.A__1.E,1.E,0.6946078538894653,1.7677273750305176,moderate,1,0,,0,,False,True,False,False,False,False,False,False,False
7s1c__1__1.A__1.C,1.C,0.5155246257781982,2.8696601390838623,moderate,1,0,,0,,True,True,False,False,False,False,False,False,False
7sa0__1__1.A__1.F,1.F,0.6613272428512573,3.6213667392730713,moderate,1,0,,0,,True,True,False,False,False,False,False,False,False
7sdd__1__2.A__2.B,2.B,0.0274043437093496,15.120914459228516,far,1,0,,0,,False,True,False,False,False,False,False,False,False
7t5x__1__1.A_1.C__1.I,1.I,0.3373595476150512,5.31308126449585,far,2,0,,0,,True,False,False,False,False,False,False,False,False
7t60__1__1.B_1.C__1.M,1.M,0.1301115304231643,7.563164234161377,far,2,0,,0,,True,True,False,False,False,False,False,False,False
7tbu__1__1.A__1.D,1.D,0.1788563877344131,8.031861305236816,far,1,0,,0,,False,True,False,False,False,False,False,False,False
7txp__1__1.A_2.A__2.B,2.B,0.0470615252852439,12.574451446533203,far,10,0,,0,,False,True,False,False,False,False,False,False,False
7tzb__1__1.A__1.C,1.C,0.6928947567939758,4.021565914154053,moderate,1,0,,0,,True,True,False,False,False,False,False,False,False
7u70__1__1.A__1.C,1.C,0.0527251176536083,15.305256843566896,far,1,0,,0,,True,True,False,False,False,False,False,False,False
7uf0__1__1.A_2.A__1.B,1.B,0.0868965536355972,11.131811141967772,far,5,0,,0,,True,False,False,False,False,False,False,False,False
7ug5__1__1.A__1.E,1.E,0.152866244316101,8.524192810058594,far,1,0,,0,,False,True,False,False,False,False,False,False,False
7ugb__1__1.A__1.C,1.C,0.6509009003639221,3.505316734313965,moderate,1,0,,0,,False,True,False,False,False,False,False,False,False
7vl2__1__1.A__1.C,1.C,0.1252302080392837,7.897217750549316,far,1,0,,0,,True,False,False,False,False,False,False,False,False
7vl6__1__1.A__1.C,1.C,0.3345347344875335,4.817430019378662,far,1,0,,0,,False,True,False,False,False,False,False,False,False
7vl7__1__1.A__1.C,1.C,0.5162296891212463,3.071417093276977,moderate,1,0,,0,,False,True,False,False,False,False,False,False,False
7vqp__1__1.A__1.C,1.C,0.7708136439323425,1.778666615486145,moderate,1,0,,0,,False,True,False,False,False,False,False,False,False
7vwt__1__1.B__1.H,1.H,0.1194509342312812,9.39045238494873,far,1,0,,0,,True,True,False,False,False,False,False,False,False
7wc8__1__1.A__1.H,1.H,0.6926271915435791,3.2079851627349854,moderate,1,0,,0,,False,True,False,False,False,False,False,False,False
7wlx__1__1.A__1.C,1.C,0.7979876399040222,1.3702998161315918,moderate,1,0,,0,,False,True,False,False,False,False,False,False,False
7wux__1__1.A_1.D__1.J,1.J,0.4732006192207336,5.147553443908691,far,2,0,,0,,True,False,False,False,False,False,False,False,False
7x9d__1__1.A__1.E,1.E,0.6127608418464661,2.462169885635376,moderate,1,0,,0,,False,True,False,False,False,False,False,False,False
7xf7__1__1.A__1.B,1.B,0.0271474886685609,14.544015884399414,far,1,0,,0,,True,True,False,False,False,False,False,False,False
7xh6__1__1.A__1.E,1.E,0.7351484894752502,1.8156057596206665,moderate,1,0,,0,,True,True,False,False,False,False,False,False,False
7xpo__1__1.B__1.H,1.H,0.0532462373375892,13.088638305664062,far,1,0,,0,,True,True,False,False,False,False,False,False,False
7xvu__1__4.A__4.C,4.C,0.2288682013750076,8.986113548278809,far,1,0,,0,,False,True,False,False,False,False,False,False,False
7yd2__1__1.A_1.B__1.K,1.K,0.1523904353380203,7.494504928588867,far,2,0,,0,,False,True,False,False,False,False,False,False,False
7ypv__1__1.A_1.B__1.J,1.J,0.2049327343702316,10.552850723266602,far,2,0,,0,,True,True,False,False,False,False,False,False,False
7z1r__1__1.A_2.A__1.B,1.B,0.4207316935062408,4.222810745239258,far,5,0,,0,,False,True,False,False,False,False,False,False,False
7z9t__1__1.A__1.C,1.C,0.1425438523292541,7.834550380706787,far,1,0,,0,,True,True,False,False,False,False,False,False,False
7za0__1__1.A__1.B,1.B,0.7567178606987,2.376112699508667,moderate,3,0,,0,,False,True,False,False,False,False,False,False,False
7zgb__1__1.A__1.B,1.B,0.2299323081970214,7.517526626586914,far,1,0,,0,,True,True,False,False,False,False,False,False,False
8a0t__1__1.A__1.C,1.C,0.7133333086967468,1.9795305728912356,moderate,1,0,,0,,False,True,False,False,False,False,False,False,False
8adf__1__1.B__1.D,1.D,0.3977110087871551,4.923877716064453,far,1,0,,0,,True,False,False,False,False,False,False,False,False
8adj__1__1.A__1.D,1.D,0.6607142686843872,4.749615669250488,moderate,1,0,,0,,True,True,False,False,False,False,False,False,False
8aev__1__1.A__1.G,1.G,0.2687203884124756,9.283504486083984,far,1,0,,0,,True,True,False,False,False,False,False,False,False
8am2__1__1.A__1.D,1.D,0.6300424337387085,3.011125087738037,moderate,1,0,,0,,True,True,False,False,False,False,False,False,False
8aqj__1__1.A_3.A__3.B,3.B,0.7077530026435852,2.845624685287476,moderate,5,0,,0,,True,True,False,False,False,False,False,False,False
8arj__1__1.A__1.B,1.B,0.6624537706375122,3.178556442260742,moderate,1,0,,0,,True,True,False,False,False,False,False,False,False
8atb__1__1.A__1.C,1.C,0.3176029920578003,7.909520626068115,far,1,0,,2,"SEP,TPO",False,True,False,False,False,False,False,False,False
8atl__1__1.A__1.C,1.C,0.1376628130674362,8.918153762817383,far,1,0,,2,"SEP,TPO",True,False,False,False,False,False,False,False,False
